id,name,now_cost,team,element_type,status
208,De'Anthony Melton,95,15,1,u
210,Reece Beekman,44,15,1,a
271,D'Angelo Russell,124,15,1,i
279,Maxwell Lewis,44,15,2,a
328,Drew Timme,45,15,2,a
353,Tyrese Martin,43,15,1,a
363,Nic Claxton,124,15,2,i
364,Cam Thomas,119,15,1,u
365,Day'Ron Sharpe,75,15,2,i
366,Cameron Johnson,94,15,2,d
367,Dennis Smith Jr.,75,15,1,u
368,Armoni Brooks,45,15,1,u
369,Noah Clowney,55,15,2,d
370,Dariq Whitehead,43,15,2,a
371,Jalen Wilson,50,15,2,a
372,Trendon Watford,52,15,2,a
373,Kyler Edwards,45,15,1,u
374,Scottie Lindsey,45,15,1,u
376,Keon Johnson,52,15,1,a
380,Bojan Bogdanovic,90,15,2,u
381,Ziaire Williams,60,15,2,a
435,Kendall Brown,45,15,1,u
748,Killian Hayes,65,15,1,u
753,Tosan Evbuomwan,47,15,2,a
777,Amari Bailey,45,15,1,u
793,Yongxi Cui,45,15,1,u
817,Mark Armstrong,45,15,1,u
826,KJ Jones II,45,15,1,u
835,Tyson Etienne,45,15,1,a
50,Anton Watson,44,16,2,a
74,Marcus Morris Sr.,55,16,2,u
86,Matt Ryan,45,16,2,u
251,P.J. Tucker,50,16,2,u
314,Delon Wright,53,16,1,a
321,MarJon Beauchamp,49,16,2,a
340,Karl-Anthony Towns,143,16,2,a
355,T.J. Warren,50,16,2,u
382,Mikal Bridges,124,16,2,a
386,Jalen Brunson,153,16,1,i
387,Mitchell Robinson,100,16,2,a
389,Miles McBride,53,16,1,i
392,Josh Hart,107,16,1,a
393,Isaiah Roby,50,16,2,u
396,OG Anunoby,105,16,2,a
397,Precious Achiuwa,90,16,2,a
400,Cameron Payne,55,16,1,i
401,Pacome Dadiet,47,16,2,a
402,Ariel Hukporti,44,16,2,i
403,Tyler Kolek,44,16,1,a
404,Kevin McCullar Jr.,44,16,1,a
714,Landry Shamet,55,16,1,a
812,Alex O'Connell,45,16,1,u
815,Daniel 'Boo' Buie III,45,16,1,u
405,Kentavious Caldwell-Pope,88,17,1,a
406,Franz Wagner,132,17,2,a
407,Cole Anthony,88,17,1,i
408,Wendell Carter Jr.,95,17,2,a
409,Jonathan Isaac,73,17,2,a
410,Paolo Banchero,149,17,2,a
411,Jalen Suggs,94,17,1,u
412,Moritz Wagner,76,17,2,u
413,Gary Harris,53,17,1,a
415,Admiral Schofield,45,17,2,u
416,Caleb Houstan,49,17,1,a
418,Goga Bitadze,49,17,2,a
419,Anthony Black,50,17,1,a
420,Jett Howard,43,17,1,a
421,Trevelin Queen,44,17,1,a
422,Mac McClung,44,17,1,a
423,Cory Joseph,44,17,1,a
424,Tristan da Silva,54,17,2,a
465,Javonte Smart,45,17,1,u
542,Jalen Slawson,45,17,2,u
794,Jarrett Culver,50,17,1,u
795,Ethan Thompson,45,17,1,a
822,Robert Baker,45,17,2,u
829,Alex Morales,45,17,1,u
262,RayJ Dennis,45,18,2,a
291,Thomas Bryant,52,18,2,a
426,Quenton Jackson,43,18,1,a
427,Obi Toppin,79,18,2,a
428,Tyrese Haliburton,152,18,1,a
429,Myles Turner,124,18,2,a
430,T.J. McConnell,94,18,1,a
431,Isaiah Jackson,65,18,2,u
432,Bennedict Mathurin,95,18,1,i
433,Aaron Nesmith,95,18,2,a
434,Andrew Nembhard,79,18,1,a
436,Ben Sheppard,49,18,1,a
437,Jarace Walker,50,18,2,a
439,Pedro Bradshaw,45,18,1,u
440,Craig Sword,45,18,1,u
441,Furkan Korkmaz,50,18,1,u
443,Pascal Siakam,139,18,2,a
444,Jordan Bell,45,18,2,u
445,James Johnson,44,18,2,a
447,Enrique Freeman,44,18,2,a
