id,name,team,now_cost,element_type,PTS,TREB,AST,STL,BLK,TO,PPG,Gameweek 10 - Day 1,Gameweek 10 - Day 2,Gameweek 10 - Day 3,Gameweek 10 - Day 4,Gameweek 10 - Day 5,Gameweek 10 - Day 6,Gameweek 11 - Day 1,Gameweek 11 - Day 2,Gameweek 11 - Day 3,Gameweek 11 - Day 4,Gameweek 11 - Day 5,Gameweek 11 - Day 6,Gameweek 11 - Day 7
141,Ryan Nembhard,7,44,1,8.9,1.92,7.199999999999999,0.8999999999999999,0.0,-1.2,17.72,18.51,19.09,16.76,0.0,17.52,0.0,17.32,0.0,0.0,18.54,0.0,16.79,0.0
144,Cameron Johnson,8,94,2,11.1,4.08,3.4499999999999997,2.0999999999999996,0.8999999999999999,-1.1,20.529999999999994,22.99,20.45,20.09,0.0,18.31,0.0,19.63,0.0,20.62,0.0,19.6,0.0,20.02
146,Nikola Jokic,8,221,2,129.2,14.76,16.5,3.9000000000000004,2.0999999999999996,-3.5,162.95999999999998,178.79,162.27,159.28,0.0,146.6,0.0,155.32,0.0,161.83,0.0,156.9,0.0,158.13
148,Jamal Murray,8,140,1,25.0,5.3999999999999995,10.05,3.0,0.8999999999999999,-2.4,41.95,46.94,41.89,40.88,0.0,37.11,0.0,40.14,0.0,41.68,0.0,40.11,0.0,40.86
149,Zeke Nnaji,8,44,2,2.3,1.7999999999999998,0.30000000000000004,0.6000000000000001,0.6000000000000001,-0.5,5.1,5.79,5.08,4.99,0.0,4.55,0.0,4.89,0.0,5.22,0.0,4.84,0.0,5.0
152,Jalen Pickett,8,43,1,2.3,1.32,1.5,0.30000000000000004,0.0,-0.4,5.02,5.58,5.04,4.89,0.0,4.42,0.0,4.85,0.0,4.95,0.0,4.8,0.0,4.88
153,Julian Strawther,8,53,1,3.7,1.92,0.6000000000000001,0.0,0.30000000000000004,-0.3,6.220000000000001,6.81,6.21,6.07,0.0,5.59,0.0,6.0,0.0,6.21,0.0,5.97,0.0,6.07
156,Spencer Jones,8,45,2,4.6,2.52,1.0499999999999998,1.5,0.6000000000000001,-0.6,9.669999999999998,10.89,9.62,9.51,0.0,8.66,0.0,9.23,0.0,9.83,0.0,9.21,0.0,9.43
159,Tim Hardaway Jr.,8,74,1,12.2,2.4,2.25,1.5,0.0,-0.3,18.05,19.84,17.97,17.73,0.0,16.27,0.0,17.2,0.0,17.99,0.0,17.35,0.0,17.49
160,Bruce Brown,8,64,2,6.7,4.32,2.7,2.4000000000000004,0.8999999999999999,-0.9,16.119999999999997,18.13,16.05,15.83,0.0,14.4,0.0,15.43,0.0,16.32,0.0,15.35,0.0,15.75
161,Jonas Valanciunas,8,83,2,8.2,5.52,1.7999999999999998,0.6000000000000001,1.7999999999999998,-1.0,16.92,18.89,16.84,16.49,0.0,15.16,0.0,16.3,0.0,17.13,0.0,16.13,0.0,16.65
