R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
145,Chet Holmgren,"PF,C",OKC,10,27.8,0.468(5.1/10.9),0.629(2.2/3.5),1.0,13.4,8.1,1.9,0.5,1.4,1.6,-0.52
146,Tristan Vukcevic,C,WAS,11,18.2,0.454(4.1/9.0),0.812(1.6/1.9),1.3,11.0,4.6,1.2,0.6,1.2,1.0,-0.54
147,Moses Moody,"SG,SF",GS,14,28.6,0.409(3.7/9.1),0.935(2.0/2.1),1.6,11.1,3.3,1.9,1.2,0.4,0.6,-0.57
148,Bogdan Bogdanovic,"SG,SF",LAC,15,26.0,0.501(4.5/8.9),0.930(0.9/1.0),2.0,11.9,4.0,3.5,0.5,0.2,1.4,-0.63
149,Gary Trent Jr.,"PG,SG,SF",MIL,13,27.3,0.423(4.7/11.1),0.948(1.5/1.5),3.2,14.1,1.9,1.2,1.0,0.1,0.3,-0.67
150,Nick Richards,C,PHO,12,22.7,0.650(5.3/8.1),0.850(1.4/1.7),0.0,11.9,7.5,0.8,0.0,0.8,1.5,-0.68
151,Dillon Brooks,"SG,SF,PF",HOU,14,32.6,0.445(5.8/13.0),0.829(1.4/1.6),2.7,15.6,2.9,2.2,1.0,0.1,1.4,-0.74
152,Dennis Schröder,"PG,SG",DET,15,24.7,0.417(3.7/8.8),0.853(3.1/3.6),1.3,11.7,2.7,5.5,0.7,0.3,1.1,-0.78
153,Khris Middleton,SF,WAS,11,21.3,0.426(3.9/9.2),0.894(2.4/2.6),1.0,11.2,3.6,3.3,1.4,0.1,1.3,-0.81
154,Kelly Oubre Jr.,"SG,SF",PHI,5,32.1,0.479(6.8/14.2),0.652(3.0/4.6),1.4,18.0,3.4,2.2,1.6,0.6,1.6,-0.82
155,Stephon Castle,"PG,SG",SA,16,29.2,0.464(7.2/15.5),0.687(4.3/6.2),1.6,20.2,4.4,4.9,1.1,0.3,2.4,-0.88
